NO,나이,이직여부,출장빈도,일급여,부서,출근거리,학력수준,전공,직원수,고유번호,환경만족도,성별,시급,직무참여도,직급,직무,직무만족도,결혼여부,월급,월급여총액,근무회사수,18세이상,초과근무여부,급여인상비율,성과평가등급,동료관계만족도,표준근무시간,주식옵션수준,근무연수,교육횟수,워라밸만족도,회사근무기간,현재역할근무기간,승진경과기간,현재관리자와근무기간,이름
1,41,Y,적음,1102,판매,1,2,생명과학,1,1,2,여자,94,3,2,영업사원,4,미혼,5993,19479,8,Y,Y,11,3,1,80,0,8,0,1,6,4,0,5,김예지
2,33,N,많음,1392,연구개발,3,4,생명과학,1,5,4,여자,56,3,1,분석가,3,결혼,2909,23159,1,Y,Y,11,3,3,80,0,8,3,3,8,7,3,0,조재하
3,59,N,적음,1324,연구개발,3,3,의학,1,10,3,여자,81,4,1,연구원,1,결혼,2670,9964,4,Y,Y,20,4,1,80,3,12,3,2,1,0,0,0,방미미
4,29,N,적음,153,연구개발,15,2,생명과학,1,15,4,여자,49,2,2,연구원,3,미혼,4193,12682,0,Y,Y,12,3,4,80,0,10,3,3,9,5,0,8,홍가나
5,29,N,적음,1389,연구개발,21,4,생명과학,1,20,2,여자,51,4,3,제조 디렉터,1,이혼,9980,10195,1,Y,N,11,3,3,80,1,10,1,3,10,9,8,8,이시원
6,53,N,적음,1219,판매,2,4,생명과학,1,23,1,여자,78,2,4,매니저,4,결혼,15427,22021,2,Y,N,16,3,3,80,0,31,3,3,25,8,3,7,권자하
7,24,N,없음,673,연구개발,11,2,기타,1,26,1,여자,96,4,2,제조 디렉터,3,이혼,4011,8232,0,Y,N,18,3,4,80,1,5,5,2,4,2,1,3,김소지
8,34,N,적음,419,연구개발,7,4,생명과학,1,28,1,여자,53,3,3,연구 디렉터,2,미혼,11994,21293,0,Y,N,11,3,3,80,0,13,4,3,12,6,2,11,정미지
9,53,N,적음,1282,연구개발,5,3,기타,1,32,3,여자,58,3,5,매니저,3,이혼,19094,10735,4,Y,N,11,3,4,80,1,26,3,2,14,13,4,8,전이하
10,32,Y,많음,1125,연구개발,16,1,생명과학,1,33,2,여자,72,1,1,분석가,1,미혼,3919,4681,1,Y,Y,22,4,2,80,0,10,5,3,10,2,6,7,서서선
11,44,N,적음,477,연구개발,7,4,의학,1,36,1,여자,42,2,3,의료 담당자,4,결혼,10248,2094,3,Y,N,14,3,4,80,1,24,4,3,22,6,5,17,이원은
12,46,N,적음,705,판매,2,4,마케팅,1,38,2,여자,83,3,5,매니저,1,미혼,18947,22822,3,Y,N,12,3,4,80,0,22,2,2,2,2,2,1,허윤주
13,43,N,적음,1273,연구개발,2,2,의학,1,46,4,여자,72,4,1,분석가,3,이혼,2645,21923,1,Y,N,12,3,4,80,2,6,3,2,5,3,1,4,이하래
14,35,N,적음,890,판매,2,3,마케팅,1,49,4,여자,97,3,1,영업 담당자,4,결혼,2014,9687,1,Y,N,13,3,1,80,0,2,3,3,2,2,2,2,한지하
15,36,N,적음,852,연구개발,5,4,생명과학,1,51,2,여자,82,2,1,분석가,1,결혼,3419,13072,9,Y,Y,14,3,4,80,1,6,3,4,1,1,0,0,박은비
16,33,N,많음,1141,판매,1,3,생명과학,1,52,3,여자,42,4,2,영업사원,1,결혼,5376,3193,2,Y,N,19,3,1,80,2,10,3,3,5,3,1,3,장보은
17,27,N,적음,1240,연구개발,2,4,생명과학,1,54,4,여자,33,3,1,연구원,1,이혼,2341,19715,1,Y,N,13,3,4,80,1,1,6,3,1,0,0,0,한하원
18,30,N,많음,721,연구개발,1,2,의학,1,57,3,여자,58,3,2,연구원,4,미혼,4011,10781,1,Y,N,23,4,4,80,0,12,2,3,12,8,3,7,김지비
19,41,Y,적음,1360,연구개발,12,3,기술학위,1,58,2,여자,49,3,5,연구 디렉터,3,결혼,19545,16280,1,Y,N,12,3,4,80,0,23,0,3,22,15,15,8,김사비
20,44,N,적음,1488,판매,1,5,마케팅,1,68,2,여자,75,3,2,영업사원,1,이혼,5454,4009,5,Y,Y,21,4,3,80,1,9,2,2,4,3,1,3,조서은
21,26,N,적음,1443,판매,23,3,마케팅,1,72,3,여자,47,2,2,영업사원,4,결혼,4157,21436,7,Y,Y,19,3,3,80,1,5,2,2,2,2,0,0,이서하
22,33,N,많음,515,연구개발,1,2,생명과학,1,73,1,여자,98,3,3,연구 디렉터,4,미혼,13458,15146,1,Y,Y,12,3,3,80,0,15,1,3,15,14,8,12,김지하
23,35,N,적음,1142,연구개발,23,4,의학,1,75,3,여자,30,3,1,연구원,1,결혼,4014,16002,3,Y,Y,15,3,3,80,1,4,3,3,2,2,2,2,권하하
24,38,N,많음,653,연구개발,29,5,생명과학,1,79,4,여자,50,3,2,연구원,4,미혼,2406,5456,1,Y,N,11,3,4,80,0,10,2,3,10,3,9,9,임주미
25,50,N,적음,989,연구개발,7,2,의학,1,80,2,여자,43,2,5,연구 디렉터,3,이혼,18740,16701,5,Y,Y,12,3,4,80,1,29,2,2,27,3,13,8,김무연
26,59,N,적음,1435,판매,25,3,생명과학,1,81,1,여자,99,3,3,영업사원,1,미혼,7637,2354,7,Y,N,11,3,4,80,0,28,3,2,21,16,7,9,박서연
27,36,N,적음,1223,연구개발,8,3,기술학위,1,83,3,여자,59,3,3,의료 담당자,3,이혼,10096,8202,1,Y,N,13,3,2,80,3,17,2,3,17,14,12,8,이하원
28,55,N,적음,836,연구개발,8,3,의학,1,84,4,여자,33,3,4,매니저,3,이혼,14756,19730,2,Y,Y,14,3,3,80,3,21,2,3,5,0,0,2,신채연
29,59,N,많음,1225,판매,1,1,생명과학,1,91,1,여자,57,2,2,영업사원,3,미혼,5473,24668,7,Y,N,11,3,4,80,0,20,2,2,4,3,1,3,김아라
30,36,N,적음,132,연구개발,6,3,생명과학,1,97,2,여자,55,4,1,연구원,4,결혼,3038,22002,3,Y,N,12,3,2,80,0,5,3,3,1,0,0,0,조서하
31,31,N,적음,746,연구개발,8,4,생명과학,1,98,3,여자,61,3,2,제조 디렉터,4,미혼,4424,20682,1,Y,N,23,4,4,80,0,11,2,3,11,7,1,8,서유경
32,38,N,없음,573,연구개발,6,3,의학,1,107,2,여자,79,1,2,분석가,4,이혼,5329,15717,7,Y,Y,12,3,4,80,3,17,3,3,13,11,1,9,지지주
33,30,N,적음,1334,판매,4,2,의학,1,121,3,여자,63,2,2,영업사원,2,이혼,5209,19760,1,Y,Y,12,3,2,80,3,11,4,2,11,8,2,7,김지연
34,54,N,적음,1217,연구개발,2,4,기술학위,1,126,1,여자,60,3,3,연구 디렉터,3,결혼,13549,24001,9,Y,N,12,3,1,80,1,16,5,1,4,3,0,3,황하하
35,24,N,적음,1353,판매,3,2,기타,1,128,1,여자,33,3,2,영업사원,3,결혼,4999,17519,0,Y,N,21,4,1,80,1,4,2,2,3,2,0,2,유유하
